_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
73351,867,PO-00774,5005,Steeles Ave E,Steeles Ave E,South,Brimley Rd,West,13680.0,23,,PPC,Existing,M4113680,0,321892.854,4854255.666,-79.287480038,43.828070496,"{u'type': u'Point', u'coordinates': (-79.2874800405, 43.8280704962)}"
73352,868,PO-01154,2110,Keele St,Keele St,West,Gulliver Rd,North,14922.0,5,,PPC,Existing,M0514922,0,306713.648,4840041.68,-79.47625769,43.700322956,"{u'type': u'Point', u'coordinates': (-79.4762576845, 43.7003229613)}"
73353,869,PO-01145,2131,Lawrence Ave E,Lawrence Ave E,South,Underwriters Rd,West,14914.0,21,Wexford Heights,PPC,Existing,M2114914,0,321806.49100000004,4845192.268999999,-79.28884118399999,43.746492092,"{u'type': u'Point', u'coordinates': (-79.2888411876, 43.7464920942)}"
73354,870,PO-00808,333,Annette St,Annette St,South,Evelyn Ave,East,13827.0,4,,PPC,Existing,M1313827,0,306870.859,4835712.228,-79.474323813,43.661351787,"{u'type': u'Point', u'coordinates': (-79.4743238184, 43.6613517902)}"
73355,871,PO-00040,25,Clarence Sq,Spadina Ave,East,Clarence Sq,South,7373.0,10,Toronto Entertainment District,PPC,Temporarily Removed,M2007373,0,313325.05600000004,4833816.7360000005,-79.394329474,43.644243828,"{u'type': u'Point', u'coordinates': (-79.3943294771, 43.6442438335)}"
73356,872,PO-00157,561,Van Horne Ave,Van Horne Ave,South,Lucifer Dr,West,1266.0,17,,PPC,Existing,M3301266,0,317810.969,4849708.033,-79.338341398,43.787220006000005,"{u'type': u'Point', u'coordinates': (-79.3383413958, 43.7872200078)}"
73357,873,PO-00447,30,Esterbrooke Ave,Esterbrooke Ave,North,Don Mills Rd,West,8322.0,17,,PPC,Existing,M3308322,0,316947.934,4848806.155,-79.34908480600001,43.77911676,"{u'type': u'Point', u'coordinates': (-79.349084812, 43.7791167595)}"
73358,875,PO-00747,25,Willcocks St,Willcocks St,South,Huron St,West,13575.0,11,,PPC,Existing,M2013575,0,312904.532,4835744.858,-79.399513053,43.661604216,"{u'type': u'Point', u'coordinates': (-79.399513051, 43.6616042212)}"
73359,876,PO-00483,439,Queens Quay W,Queens Quay W,South,Lower Spadina Ave,West,8358.0,10,The Waterfront,PPC,Temporarily Removed,M2008358,0,313443.95,4833051.421,-79.392867994,43.637353581000006,"{u'type': u'Point', u'coordinates': (-79.3928679956, 43.6373535854)}"
73360,878,PO-00780,40,Montgomery Rd,Montgomery Rd,West,Belvedere Blvd,North,13805.0,3,,PPC,Existing,M0513805,0,303254.12,4834349.99,-79.519163167,43.649091078000005,"{u'type': u'Point', u'coordinates': (-79.5191631689, 43.6490910816)}"
73361,879,PO-00187,2A,Spadina Ave,Spadina Ave,West,Fort York Blvd,South,7954.0,10,CityPlace and Fort York,PPC,Existing,M2007954,0,313419.417,4833363.784,-79.393167075,43.64016556399999,"{u'type': u'Point', u'coordinates': (-79.3931670723, 43.640165563)}"
73362,881,PO-00110,586,Bloor St W,Bloor St W,North,Markham St,West,4736.0,11,Korea Town,PPC,Existing,M2004736,0,311838.724,4836108.541999999,-79.412723097,43.664888712,"{u'type': u'Point', u'coordinates': (-79.4127230955, 43.6648887137)}"
73363,882,PO-00366,5551,Finch Ave E,Finch Ave E,South,Markham Rd,East,8290.0,23,,PPC,Existing,M4108290,0,325503.79600000003,4852587.8780000005,-79.242649141,43.812966425,"{u'type': u'Point', u'coordinates': (-79.242649144, 43.8129664308)}"
73364,883,PO-00453,45,Huntingdale Blvd,Finch Ave E,North,Pharmacy Ave,East,8328.0,22,,PPC,Existing,M3908328,0,318821.768,4850522.1219999995,-79.325761195,43.794529245,"{u'type': u'Point', u'coordinates': (-79.3257611955, 43.7945292486)}"
73365,884,PO-00578,1132,Bathurst St,Bathurst St,West,Davenport Rd,South,12932.0,12,,PPC,Existing,M2112932,0,311589.964,4837399.02,-79.415791361,43.676507029,"{u'type': u'Point', u'coordinates': (-79.4157913614, 43.6765070318)}"
